trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230530,000627.SZ,天茂集团,保险,湖北,86.89,45.53,49.41,2994.15,593.95,6.74,110.94,2.25,0.01,4.40,0.72,19961112,65.54,1.33,623.63,-69.31,0.69,0.39,75200
20230530,000628.SZ,高新发展,建筑工程,四川,40.80,1.92,3.52,128.55,116.94,0.49,9.01,2.56,0.09,5.03,2.90,19961118,4.94,1.40,2.06,173.36,14.84,2.88,19844
20230530,000629.SZ,钒钛股份,小金属,四川,26.57,85.89,86.02,119.68,39.96,54.25,37.04,0.43,0.04,1.06,3.83,19961115,-39.87,-0.46,-4.49,-29.95,14.26,8.33,311300
20230530,000630.SZ,铜陵有色,铜,安徽,11.80,105.26,105.27,620.40,393.60,167.25,46.93,0.45,0.06,2.46,1.19,19961120,90.81,0.86,18.60,3.96,4.85,2.10,321567
20230530,000631.SZ,顺发恒业,综合类,浙江,95.69,24.33,24.33,91.86,83.18,2.86,13.15,0.54,0.01,2.54,1.14,19961122,27.23,1.12,-14.48,-55.91,45.91,34.60,30931
20230530,000632.SZ,三木集团,综合类,福建,72.96,4.65,4.66,102.08,66.40,5.27,0.00,0.00,0.01,3.09,1.37,19961121,3.30,0.71,93.68,6.89,3.39,0.22,39414
20230530,000633.SZ,合金投资,小金属,新疆,771.82,3.85,3.85,2.58,1.48,0.82,0.48,0.12,0.00,0.45,21.13,19961112,-3.22,-0.84,-1.16,-49.33,9.09,2.56,21994
20230530,000635.SZ,英 力 特,化工原料,宁夏,0.00,3.03,3.05,27.11,9.58,12.88,18.88,6.20,-0.50,6.95,1.23,19961120,-1.87,-0.61,-8.44,-267.51,-32.67,-39.30,30308
20230530,000636.SZ,风华高科,元器件,广东,76.94,10.78,11.57,158.64,77.69,43.82,71.51,6.18,0.05,10.33,1.50,19961129,28.87,2.49,-15.25,-67.66,11.08,6.55,106920
20230530,000637.SZ,ST实华,石油加工,广东,0.00,3.68,5.20,26.79,6.77,9.28,0.14,0.03,-0.06,1.64,1.90,19961114,0.87,0.17,-33.81,-300.87,3.33,-2.28,31743
20230530,000638.SZ,万方发展,农业综合,吉林,0.00,3.09,3.10,5.52,3.50,0.48,1.57,0.51,-0.01,0.57,10.31,19961126,-2.87,-0.93,27.05,12.08,3.98,-11.42,41988
20230530,000639.SZ,西王食品,食品,山东,0.00,10.79,10.79,70.27,30.94,6.01,16.02,1.48,-0.04,3.02,1.40,19961126,3.84,0.36,6.33,-105.94,16.08,-3.42,25402
20230530,000650.SZ,仁和药业,中成药,江西,12.73,13.42,14.00,76.75,45.04,8.90,7.86,0.56,0.13,4.23,1.57,19961210,33.24,2.37,3.39,17.09,39.41,16.17,154479
20230530,000651.SZ,格力电器,家用电器,广东,11.51,55.92,56.31,3846.11,2773.81,338.57,8.18,0.15,0.73,18.10,1.86,19961118,953.16,16.93,0.56,2.65,27.42,11.01,660888
20230530,000652.SZ,泰达股份,批发业,天津,235.64,14.74,14.76,402.59,267.39,3.79,6.84,0.46,0.00,3.74,1.10,19961128,27.74,1.88,89.58,52.49,2.03,-1.21,101417
20230530,000655.SZ,金岭矿业,普钢,山东,57.97,5.95,5.95,35.58,20.80,2.68,4.88,0.82,0.03,5.18,1.24,19961128,16.49,2.77,-19.77,-59.74,19.95,6.39,37402
20230530,000656.SZ,金科股份,全国地产,重庆,0.00,53.11,53.40,2930.64,2444.57,25.63,69.03,1.29,-0.06,2.27,0.40,19961128,-39.80,-0.75,-21.47,-0.63,13.43,-1.19,166727
20230530,000657.SZ,中钨高新,小金属,海南,32.34,9.48,10.75,125.41,79.03,34.68,35.31,3.28,0.09,5.11,2.35,19961205,9.23,0.86,0.98,-7.40,17.23,3.96,46000
20230530,000659.SZ,珠海中富,广告包装,广东,0.00,12.86,12.86,20.78,4.25,10.92,2.81,0.22,-0.02,0.29,8.99,19961203,-16.66,-1.30,-11.35,-22.22,14.51,-8.58,42822
20230530,000661.SZ,长春高新,生物制药,吉林,18.93,4.02,4.05,267.75,156.40,34.56,34.31,8.48,2.13,46.78,3.43,19961218,142.44,35.19,-6.63,-24.71,87.91,30.93,136343
20230530,000663.SZ,永安林业,林业,福建,14.09,3.06,3.37,11.74,9.06,1.16,16.09,4.78,0.16,2.86,3.17,19961206,-9.49,-2.82,37.35,382.08,44.37,39.19,17595
20230530,000665.SZ,湖北广电,影视音像,湖北,0.00,11.34,11.34,115.02,25.35,60.47,45.19,3.98,-0.08,5.06,1.09,19961210,-0.22,-0.02,2.54,5.62,8.84,-19.70,103448
20230530,000666.SZ,经纬纺机,多元金融,北京,16.56,2.94,7.04,392.56,258.80,15.29,18.91,2.69,0.14,14.19,0.65,19961210,54.82,7.79,-7.10,-28.32,18.70,13.57,38990
